id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
9129440,Central convenient bright apartm,29842993,Paul,Dublin City Council,North Inner City LEA-7,53.3532818,-6.2489778,Entire home/apt,159,14,20,2024-09-04,1.23,4,36,15
9129641,Great City Centre Apartment,103586345,Pat,Dublin City Council,North Inner City LEA-7,53.34754,-6.26407,Entire home/apt,150,2,148,2024-08-31,4.72,2,77,42
9149279,Unique 1 Bedroom House in Dublin 1,483024454,Lucas,Dublin City Council,North Inner City LEA-7,53.35108,-6.24663,Entire home/apt,177,3,31,2024-08-27,2.34,60,247,28
9160181,4 bed 2 bathroom large apartment,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.34782225,-6.264048037,Entire home/apt,580,3,50,2024-08-25,3.39,97,70,45
9167914,Anna's 1 bed central,177833932,Anna,Dublin City Council,North Inner City LEA-7,53.34819,-6.26192,Entire home/apt,250,4,16,2024-08-10,0.74,16,266,15
9197277,Comfort and Relaxation! Premium Family Room,484535538,RoomPicks,Dublin City Council,North Inner City LEA-7,53.35293,-6.24969,Hotel room,799,1,1,2024-03-05,0.16,32,73,1
9290257,Central One Bedroom Apt,55276705,Gregory Joseph,Dublin City Council,North Inner City LEA-7,53.34754,-6.26046,Entire home/apt,150,1,3,2024-08-22,2.43,23,147,3
9293644,1 bed apt with River Liffey view,504325661,Catherine,Dublin City Council,North Inner City LEA-7,53.3469715,-6.2621666,Entire home/apt,225,4,70,2024-09-07,3.86,1,124,46
9294117,"❤️ Heart of the City- 5 Star Reviews, Temple Bar",262875,Paul,Dublin City Council,North Inner City LEA-7,53.34679,-6.26313,Entire home/apt,256,2,299,2024-09-06,2.78,1,180,61
9298254,Dublin City Center: Alive&Modern,95826062,Leandro Stefano,Dublin City Council,North Inner City LEA-7,53.34677196,-6.262983028,Entire home/apt,185,2,18,2024-08-24,4.86,1,166,18
9315380,City Centre Studio Apartment,55276705,Gregory Joseph,Dublin City Council,North Inner City LEA-7,53.34717033,-6.261800794,Entire home/apt,113,1,68,2024-08-28,3.44,23,320,26
9322960,Lovely 1 bedroom Condo with Garden facing Terrace,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.34668,-6.26411,Entire home/apt,188,4,72,2024-08-18,2.65,97,228,33
9339335,City Studio at Zanzibar Locke,371005518,Zanzibar Locke,Dublin City Council,North Inner City LEA-7,53.3465239,-6.2641525,Entire home/apt,330,1,461,2024-08-27,10.09,7,235,87
9363084,Belvedere,576846106,Kevin,Dublin City Council,North Inner City LEA-7,53.3538562,-6.2596375,Entire home/apt,100,14,1,2024-08-08,0.83,1,109,1
9363323,"City Centre Hideout, Buzzy and Vibrant",59920509,Clark,Dublin City Council,North Inner City LEA-7,53.3522,-6.25928,Entire home/apt,102,21,20,2024-08-17,0.33,5,290,10
9364709,Dublin City Centre Apartment,55276705,Gregory Joseph,Dublin City Council,North Inner City LEA-7,53.34739003,-6.26246378,Entire home/apt,219,1,23,2024-08-19,3.03,23,276,23
9366403,Shamrock Sanctuary,287173491,Nereyda,Dublin City Council,North Inner City LEA-7,53.35254283,-6.255021047,Entire home/apt,80,3,3,2024-08-05,2,1,17,3
